,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
0,SMALL-MNIST,mlp,Control,Small MNIST,9.95810910280754,0.10252402720797563,50,10.020712616893634,0.030648357381748523,-2.0426384783471314,0.0196078431372549,0.9552000164985657,0.14109364178975423,0.960099995136261,0.13138359143733977
1,SMALL-MNIST,mlp,Control,Small MNIST,10.027098917963984,0.09837845912248247,50,10.042873899729189,0.023403879852892006,-0.6740327614207666,0.23529411764705882,0.9540166854858398,0.14577455119689306,0.9589999914169312,0.13599915682673455
2,SMALL-MNIST,mlp,Control,Small MNIST,9.951247583373142,0.10293947565177546,50,10.033390052390764,0.03327780440572433,-2.4683860754795584,0.0196078431372549,0.9554833173751831,0.14367156919638316,0.9546999931335449,0.14388429777622222
3,SMALL-MNIST,mlp,Control,Small MNIST,10.00698189927736,0.09958137832079833,50,10.037289979423006,0.03349319741875848,-0.9049025617563686,0.17647058823529413,0.9519166946411133,0.14906717947324116,0.9556000232696533,0.1408220799446106
4,SMALL-MNIST,mlp,Control,Small MNIST,10.056822643377089,0.09660990481434953,50,10.032909134407937,0.03682660339150901,0.6493541833039433,0.7254901960784313,0.9566500186920166,0.13870509146054585,0.9589999914169312,0.13925616280436515
5,SMALL-MNIST,mlp,Control,Small MNIST,10.018128718980835,0.09891424519552314,50,10.007045494953013,0.032517876833877704,0.34083479940715744,0.6666666666666666,0.9576333165168762,0.13532698335647583,0.9584000110626221,0.13403657126426696
6,SMALL-MNIST,mlp,Control,Small MNIST,9.986408705259267,0.10081658753262772,50,10.014049374544788,0.028717954831322428,-0.9624873863013975,0.19607843137254902,0.9563666582107544,0.13645882436037063,0.9573000073432922,0.13945207490921022
7,SMALL-MNIST,mlp,Control,Small MNIST,10.063253100771837,0.09622866879297795,50,10.06411037256928,0.032106929724953735,-0.02670052243509371,0.5098039215686274,0.9566333293914795,0.1380690517981847,0.9585999846458435,0.13647910541892053
8,SMALL-MNIST,mlp,Control,Small MNIST,10.086946443558137,0.09482818051758382,50,10.0353119052201,0.028964638932201497,1.7826750217359835,0.9803921568627451,0.9540500044822693,0.1472101786494255,0.9526000022888184,0.1458448989868164
9,SMALL-MNIST,mlp,Control,Small MNIST,10.044386738051497,0.09734856457388219,50,10.059346258612308,0.023852384440135176,-0.6271708641271059,0.23529411764705882,0.9560666680335999,0.13947650154829025,0.958899974822998,0.13713757939338683
10,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.107850332930093,0.15877235359331335,50,8.228892693252163,0.17252781548779453,5.094585109031951,1.0,0.9580000042915344,0.16956082480748494,0.9585999846458435,0.16779799962043762
11,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,8.378297085743226,0.21613598068869977,50,8.308338574043288,0.13985863914164304,0.5002087259628359,0.6666666666666666,0.9606166481971741,0.14715810443560282,0.9616000056266785,0.14608156506419182
12,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,8.143029227580218,0.23682653375210336,50,5.894614691705652,0.6926550734207617,3.2460810902178143,0.9607843137254902,0.9567833542823792,0.151693830092748,0.9550999999046326,0.15387853667736054
13,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,8.533140157004306,0.20314091759936534,50,8.796407017953925,0.12046218131316729,-2.1854731342212728,0.0196078431372549,0.9636666774749756,0.14133176907300948,0.9595000147819519,0.15381540981531144
14,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.102020112237822,0.15919432455800628,50,8.86378097308912,0.16433005862766156,1.4497599595488668,0.9215686274509803,0.9601333141326904,0.1634207183599472,0.9595000147819519,0.17034890114665033
15,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,8.660616225356458,0.1927913492383215,50,8.665584347240326,0.11767594120111756,-0.04221867132022574,0.5686274509803921,0.9643499851226807,0.13902418027718863,0.9598000049591064,0.14836952481269836
16,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.615347305406729,0.12400242127772007,50,6.777069440273909,0.40275016499752486,7.047241967362727,1.0,0.9585833549499512,0.16261886859734853,0.958899974822998,0.15840345542430878
17,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.042955435456808,0.1634998969998693,50,8.939849459846362,0.1378307982995597,0.7480619490163287,0.7647058823529411,0.9593166708946228,0.16308543759981792,0.9602000117301941,0.15991337692737578
18,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.318547550580897,0.14387716727656485,50,8.177453258432033,0.13471767298004822,8.47026427125015,1.0,0.9628000259399414,0.15349680975278218,0.9577000141143799,0.17201237230300903
19,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,Cluster Gradient,Small MNIST,9.381452679200633,0.13955980008324714,50,8.785124221581672,0.2136329595728422,2.7913691726750227,1.0,0.9616666436195374,0.1622104837814967,0.9592000246047974,0.17237913012504577
20,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,6.651289891246412,0.40208066376665413,50,7.514869765109055,0.12111904791503572,-7.130008770118795,0.0196078431372549,0.9334333539009094,0.21735649704138438,0.9350000023841858,0.20765385253429414
21,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.356412332335033,0.3156149667721945,50,7.47174064068823,0.10880974654069651,-1.0599078852744366,0.13725490196078433,0.9323833584785461,0.22294794131120046,0.9380000233650208,0.2089985232591629
22,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.194931339563853,0.33392039712830834,50,7.356274677932127,0.13141344853102296,-1.2277536292656208,0.11764705882352941,0.9278500080108643,0.23659712897936502,0.9333999752998352,0.2225107929587364
23,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,6.7354728183833705,0.3908060594683097,50,7.417269799979135,0.13087483790460805,-5.209534487391012,0.0196078431372549,0.9278166890144348,0.2355766218662262,0.9314000010490417,0.22615129177570342
24,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.13486978920592,0.3409403643325317,50,7.385580541796321,0.1362439168564336,-1.8401610756286881,0.0392156862745098,0.9280999898910522,0.2342737799247106,0.9343000054359436,0.2222005863904953
25,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.1190423825367,0.3428099844886783,50,7.437380092714492,0.08743350861132786,-3.640911993969187,0.0196078431372549,0.9277666807174683,0.23342803676128387,0.9275000095367432,0.23371104447245597
26,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.230558176475412,0.3298114548778505,50,7.35048293191554,0.11397537542915163,-1.05219881916225,0.23529411764705882,0.930233359336853,0.2280356246471405,0.9337999820709229,0.2228866476535797
27,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.40720743965977,0.31002186706351975,50,7.514419498463741,0.10373879928123407,-1.033480814765564,0.21568627450980393,0.9314333200454712,0.22194298427899678,0.9348000288009644,0.21796480712890626
28,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.126371487204106,0.3419431979898067,50,7.374804513886512,0.09865091509945803,-2.518304330293747,0.0196078431372549,0.9362166523933411,0.21020587097803753,0.9368000030517578,0.2041757735490799
29,SMALL-MNIST,mlp,"Control, Pruning",Small MNIST,7.186401657399395,0.3349101937298717,50,7.432216411861188,0.12562087405522515,-1.9567986316806576,0.0784313725490196,0.9271666407585144,0.23817883366743722,0.9329000115394592,0.22105901715755463
30,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.295038605041759,0.6331362143964352,50,5.374948494071434,0.3416275238048067,-0.2339093997453583,0.43137254901960786,0.9139500260353088,0.2944575632572174,0.9194999933242798,0.276608660030365
31,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.780724889499204,0.5379321131332703,50,6.062956521738434,0.21674385794299725,-1.3021436220511267,0.1568627450980392,0.9057333469390869,0.31660187811851503,0.9143999814987183,0.29735547666549683
32,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,4.950634591192925,0.7119658378087274,50,6.412954148437178,0.20622008713927023,-7.091062648308743,0.0196078431372549,0.8665500283241272,0.5307918953259786,0.878000020980835,0.47082390155792236
33,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,4.911949502853564,0.721510928912103,50,6.387728073049138,0.1442013979778734,-10.234148842454504,0.0196078431372549,0.9147999882698059,0.28757665812174477,0.9200999736785889,0.27346675691604616
34,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.892833919040485,0.5181858308636951,50,7.0493627029980335,0.12069494308124241,-9.582247229521982,0.0196078431372549,0.8910666704177856,0.37278442560831704,0.8960999846458435,0.35768820061683654
35,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.558017084274385,0.5795216907440142,50,5.29280174820828,0.3514257570693111,0.7546838293181714,0.803921568627451,0.9037833213806152,0.3138589140733083,0.9111999869346619,0.2994407605171204
36,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.495364460890175,0.5918293122687772,50,5.911204925219886,0.17128901077092623,-2.427712451943786,0.0196078431372549,0.8041499853134155,0.6704626221021016,0.817799985408783,0.6351951277732849
37,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.742412543313069,0.5448570099664619,50,6.929018165816955,0.13974052585339428,-8.49149246617826,0.0196078431372549,0.8909000158309937,0.37111253895759583,0.8984000086784363,0.3487397050857544
38,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,6.157495862935985,0.47442209196046636,50,6.676807490197448,0.14903354142024228,-3.48452853171567,0.0196078431372549,0.9037666916847229,0.3359859735965729,0.9120000004768372,0.31666814160346984
39,SMALL-MNIST+CLUSTERABILITY-GRADIENT,mlp,"Cluster Gradient, Pruning",Small MNIST,5.357689755760533,0.6198856734003424,50,7.003015485624103,0.14953997944612835,-11.002580954990016,0.0196078431372549,0.8877166509628296,0.38463288687070213,0.8924999833106995,0.3646746017694473
