,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
0,CNN-MNIST,cnn,Control,MNIST,10.705613377193794,0.060453641337526835,50,10.685908201687187,0.018359919050029486,1.0732713718895737,0.8627450980392157,0.9974833130836487,0.00719066141183254,0.9934999942779541,0.02733268951548962
1,CNN-MNIST,cnn,Control,MNIST,10.707100534742189,0.06037579740017557,50,10.675787245761084,0.01691003173773606,1.8517581437311377,0.9607843137254902,0.9983500242233276,0.0052621772232342365,0.991100013256073,0.03343055050603434
2,CNN-MNIST,cnn,Control,MNIST,10.66426101108621,0.06262688936088491,50,10.647049071283382,0.01833518568167546,0.9387382326883619,0.8627450980392157,0.9973166584968567,0.00783728576514768,0.9923999905586243,0.02747144262896618
3,CNN-MNIST,cnn,Control,MNIST,10.687799238163205,0.06138779053555226,50,10.691871676514278,0.01739436687324004,-0.23412397707551305,0.47058823529411764,0.9975666403770447,0.007022030569218805,0.991599977016449,0.035863345776809726
4,CNN-MNIST,cnn,Control,MNIST,10.66845025502154,0.062405959307525086,50,10.664195576811363,0.01842300257757487,0.23094379932163048,0.6078431372549019,0.9975833296775818,0.007618839606279714,0.9914000034332275,0.03869381027997224
5,CNN-MNIST+DROPOUT,cnn,Dropout,MNIST,10.67807458362915,0.06189905333670968,50,10.690172282582582,0.016372989088647247,-0.7388815132002546,0.21568627450980393,0.989216685295105,0.03381107459723329,0.993399977684021,0.021688513995008544
6,CNN-MNIST+DROPOUT,cnn,Dropout,MNIST,10.67270102043135,0.06218196204633329,50,10.706729968867887,0.016004608898416497,-2.1261968132131326,0.058823529411764705,0.9897000193595886,0.03318190729323154,0.9944000244140625,0.019051935619185677
7,CNN-MNIST+DROPOUT,cnn,Dropout,MNIST,10.70539282166496,0.060465187961860116,50,10.695474399223567,0.017200520416366313,0.576635020412258,0.7254901960784313,0.9896666407585144,0.03288355476651341,0.9940999746322632,0.019671780660329388
8,CNN-MNIST+DROPOUT,cnn,Dropout,MNIST,10.683763127067822,0.06159987156573277,50,10.695900064272442,0.015926216367963035,-0.762072856741675,0.27450980392156865,0.9896000027656555,0.03418673700802028,0.9944000244140625,0.015588236115733161
9,CNN-MNIST+DROPOUT,cnn,Dropout,MNIST,10.69955327379402,0.06077107580702042,50,10.703734933423227,0.01589998001762633,-0.2629977914797101,0.4117647058823529,0.9902999997138977,0.0323271865556327,0.9940000176429749,0.01957100621314021
10,CNN-MNIST+L1REG,cnn,L1 Reg,MNIST,10.55329093631822,0.06854302948775239,50,5.424389950066568,0.19644784795818407,26.108206526871147,1.0,0.9922000169754028,0.08215127900441488,0.9915000200271606,0.08456795873641967
11,CNN-MNIST+L1REG,cnn,L1 Reg,MNIST,10.27041985621918,0.08420201744398431,50,5.407321808366118,0.15894711013814591,30.5956996866844,1.0,0.992816686630249,0.08165657961368561,0.9912999868392944,0.08806555714607239
12,CNN-MNIST+L1REG,cnn,L1 Reg,MNIST,10.263473732432358,0.08459739425650091,50,5.67244240687032,0.1830617231294965,25.079144056315783,1.0,0.9931333065032959,0.07944514008760452,0.9883999824523926,0.09325988245010376
13,CNN-MNIST+L1REG,cnn,L1 Reg,MNIST,10.062121843002554,0.09629570120665422,50,4.979078600476982,0.1757072380343522,28.92904868000825,1.0,0.9925000071525574,0.07925116500457127,0.9918000102043152,0.07933037593364715
14,CNN-MNIST+L1REG,cnn,L1 Reg,MNIST,10.41612988994854,0.07602968313499428,50,5.025442871637489,0.20131614655965696,26.777221352752264,1.0,0.9929333329200745,0.07942518932024638,0.9902999997138977,0.08974687576293945
15,CNN-MNIST+L2REG,cnn,L2 Reg,MNIST,7.847427827770831,0.2645817370587252,50,10.328457643085681,0.02657373607493452,-93.36398195265673,0.0196078431372549,0.996150016784668,0.03463572505712509,0.9922000169754028,0.04808726803064346
16,CNN-MNIST+L2REG,cnn,L2 Reg,MNIST,7.82255462423606,0.2670128606594359,50,10.329650593103084,0.02782563665014699,-90.10021946267956,0.0196078431372549,0.9959499835968018,0.03458845487634341,0.9907000064849854,0.0534339552462101
17,CNN-MNIST+L2REG,cnn,L2 Reg,MNIST,7.86421585678828,0.2629495564800507,50,10.186397555459445,0.037897011334164586,-61.276116952728984,0.0196078431372549,0.9961333274841309,0.03306126902898153,0.9902999997138977,0.054064748108387
18,CNN-MNIST+L2REG,cnn,L2 Reg,MNIST,7.841115415510915,0.26519725600915023,50,10.22109854136108,0.0326966331600522,-72.78985313870051,0.0196078431372549,0.9963333606719971,0.033491659160455066,0.9896000027656555,0.05555581488609314
19,CNN-MNIST+L2REG,cnn,L2 Reg,MNIST,8.873124654626205,0.17619922333354845,50,10.195982897727323,0.03668262107218437,-36.06226066828721,0.0196078431372549,0.9963833093643188,0.033787269483009974,0.9902999997138977,0.05152225044965744
20,CNN-MNIST+MOD-INIT,cnn,Clusterable Init,MNIST,10.529382653225476,0.06983397769877935,50,10.665898734138914,0.01766327474038671,-7.728809233844778,0.0196078431372549,0.9983500242233276,0.00577921870839588,0.9909999966621399,0.03360568711032938
21,CNN-MNIST+MOD-INIT,cnn,Clusterable Init,MNIST,10.488908264770663,0.07203284160205096,50,10.665613192005713,0.016128245253017807,-10.956240090780282,0.0196078431372549,0.9973666667938232,0.00685276975878763,0.9904999732971191,0.03929333899664489
22,CNN-MNIST+MOD-INIT,cnn,Clusterable Init,MNIST,10.545490157147757,0.06896359586786835,50,10.654574112084612,0.018768994384172392,-5.811923255134213,0.0196078431372549,0.9983500242233276,0.0050756529937434,0.992900013923645,0.030202649742140784
23,CNN-MNIST+MOD-INIT,cnn,Clusterable Init,MNIST,10.51943860561574,0.07037264296565558,50,10.646404721359596,0.01724847595720336,-7.361004882917361,0.0196078431372549,0.9975500106811523,0.006845669556367041,0.9914000034332275,0.030621055445214734
24,CNN-MNIST+MOD-INIT,cnn,Clusterable Init,MNIST,10.557338297539417,0.06832506744606366,50,10.655672109854471,0.01885369508072448,-5.2156254725678926,0.0196078431372549,0.9972166419029236,0.007491622188979818,0.991599977016449,0.03343751333619714
25,CNN-STACKED-MNIST,cnn,Stacked Diff,MNIST,10.537479300435633,0.0693961362991197,50,10.566277799316927,0.020154649831685974,-1.4288761710966755,0.09803921568627451,0.9789833426475525,0.05952235231945912,0.9164000153541565,0.3443216240406036
26,CNN-STACKED-MNIST,cnn,Stacked Diff,MNIST,10.50653395432722,0.0710732032164462,50,10.581931465562514,0.020383372848004067,-3.698971303597461,0.0196078431372549,0.9817500114440918,0.05427361921686679,0.9139000177383423,0.404824673217535
