,model,network_type,Network,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
0,CNN-VGG-CIFAR10,cnn,Control,7.948112993138805,0.25489616279731925,50,3.4781993071228983,0.24782023831337852,18.036919488244234,1.0,0.9591153264045715,0.3895634962535646,0.8970999717712402,0.6418910969661761
1,CNN-VGG-CIFAR10,cnn,Control,8.530048135729784,0.20339579619343773,50,3.7938277022174596,0.20121287220968148,23.53835707179194,1.0,0.9574118852615356,0.40742344306065487,0.861299991607666,0.7853236070162133
2,CNN-VGG-CIFAR10,cnn,Control,8.670221221298716,0.1920238650036726,50,4.1699445822417776,0.2539876209255859,17.718488100549767,1.0,0.9561498165130615,0.4088376388335839,0.8891000151634216,0.6614973216871672
3,CNN-VGG-CIFAR10,cnn,Control,7.79051416941564,0.27016739454182326,50,3.9500352246482238,0.24998267591376788,15.36298037745703,1.0,0.9564467072486877,0.40343562259494914,0.8827000260353088,0.7087466592275644
4,CNN-VGG-CIFAR10,cnn,Control,8.008093331757431,0.24924201697375312,50,3.703762866095943,0.22122539820248954,19.45676446120213,1.0,0.9596754908561707,0.39110670349536797,0.8820000290870667,0.6948970605300951
5,CNN-VGG-CIFAR10+L1REG,cnn,L1 Reg,5.1507431558048875,0.6648804489965687,50,2.0661979770265173,0.039899262159137854,77.30832631630352,1.0,0.9102440476417542,0.7459594735979804,0.8707000017166138,0.8916776180267334
6,CNN-VGG-CIFAR10+L1REG,cnn,L1 Reg,5.2428893589452805,0.6444071368324713,50,2.079052044255132,0.041263302142319824,76.67436076196391,1.0,0.9124158024787903,0.7553518862918588,0.847000002861023,0.990582832807227
7,CNN-VGG-CIFAR10+L1REG,cnn,L1 Reg,5.831669140842627,0.5288649535993825,50,2.054408671774044,0.033951914309285625,111.25323993986187,1.0,0.9128405451774597,0.7498119725630834,0.8826000094413757,0.8413307704503024
8,CNN-VGG-CIFAR10+L1REG,cnn,L1 Reg,5.025718480916112,0.6938591512404595,50,2.073384176203805,0.029718316114646145,99.34392962652755,1.0,0.9125561714172363,0.7521489834915493,0.8733999729156494,0.8920838515969771
9,CNN-VGG-CIFAR10+L1REG,cnn,L1 Reg,5.219476264217053,0.6495406236702237,50,2.0955021524375894,0.03281722391949652,95.19312539789597,1.0,0.9120593070983887,0.7506244347645686,0.8831999897956848,0.863586819624599
