,model,network_type,Network,Dataset,ncut,ave_in_out,n_samples,mean,stdev,z_score,percentile,train_acc,train_loss,test_acc,test_loss
0,MNIST,mlp,Control,MNIST,10.042212559465087,0.09747789289172336,50,10.151820772613192,0.021391139871707394,-5.1240005818052,0.0196078431372549,0.9966166615486145,0.01157606906647173,0.9783999919891357,0.10637924083862453
1,MNIST,mlp,Control,MNIST,10.004539716769973,0.09972774059186176,50,10.185343869308813,0.06739906793332397,-2.682591289210482,0.0196078431372549,0.9968000054359436,0.009840343770990148,0.9794999957084656,0.11157392818382941
2,MNIST,mlp,Control,MNIST,10.022470991290787,0.09865476340253937,50,10.175329172477657,0.0330439836217758,-4.6259005250849174,0.0196078431372549,0.9973999857902527,0.009473564812554347,0.9781000018119812,0.10555460454691201
3,MNIST,mlp,Control,MNIST,10.039690338557058,0.09762799425767375,50,10.162452207059482,0.021964951690381068,-5.588988777798424,0.0196078431372549,0.9969333410263062,0.01042604845163102,0.9825999736785889,0.09199263893514871
4,MNIST,mlp,Control,MNIST,10.012309152691708,0.09926235881229861,50,10.150766911252445,0.031957750104540494,-4.332525228084342,0.0196078431372549,0.9965999722480774,0.010692635352614646,0.9822999835014343,0.0869904883521478
5,MNIST+DROPOUT,mlp,Dropout,MNIST,10.038706867697703,0.09768654260706107,50,10.294030063557676,0.11163375140306898,-2.2871505494614524,0.0196078431372549,0.972350001335144,0.09933595666686694,0.9815000295639038,0.0731810495018959
6,MNIST+DROPOUT,mlp,Dropout,MNIST,9.934569553513569,0.10395168282635599,50,10.296853293097872,0.11727662536865113,-3.0891385085944316,0.0196078431372549,0.9731166958808899,0.09840035995841026,0.9797000288963318,0.08065970168709755
7,MNIST+DROPOUT,mlp,Dropout,MNIST,9.85719242899633,0.1086925910414561,50,10.306801008717116,0.1602138873222994,-2.806302170399979,0.0196078431372549,0.9725666642189026,0.09997527904113133,0.9786999821662903,0.07892962897836696
8,MNIST+DROPOUT,mlp,Dropout,MNIST,9.962811698646192,0.10223962687313629,50,10.298360118138005,0.10560046632007301,-3.177527819572047,0.0196078431372549,0.9732000231742859,0.09969867673714955,0.9797999858856201,0.0800588845282793
9,MNIST+DROPOUT,mlp,Dropout,MNIST,10.061292973680548,0.09634482523225087,50,10.279509316721498,0.06184669526025079,-3.528342818038963,0.0196078431372549,0.9729166626930237,0.09839306014378865,0.9797999858856201,0.07572453649481758
10,MNIST+L1REG,mlp,L1 Reg,MNIST,8.799234490235797,0.18187749816850432,50,6.570009069873981,0.13336844054099392,16.7147895807975,1.0,0.9908333420753479,0.1288342800696691,0.9811999797821045,0.16475172896385193
11,MNIST+L1REG,mlp,L1 Reg,MNIST,9.199139484481924,0.15223491937712555,50,6.750402397595448,0.12886223580881156,19.002751826528772,1.0,0.9904999732971191,0.13089466600020727,0.9785000085830688,0.17364928960800172
12,MNIST+L1REG,mlp,L1 Reg,MNIST,9.125105763948348,0.15752662546717222,50,6.542810420984938,0.14857358142099988,17.380582188741798,1.0,0.9910333156585693,0.12647276350657144,0.9764000177383423,0.18215196648836135
13,MNIST+L1REG,mlp,L1 Reg,MNIST,8.87351263082415,0.17616965790499298,50,6.359621731011839,0.15496030906008076,16.22280514965695,1.0,0.9916499853134155,0.12241926272710164,0.9815000295639038,0.1588541273355484
14,MNIST+L1REG,mlp,L1 Reg,MNIST,9.313043137138825,0.14425772667937345,50,6.300164297485977,0.1448520275589575,20.79970084247906,1.0,0.991433322429657,0.12727996050516766,0.9794999957084656,0.16847929406166076
15,MNIST+L2REG,mlp,L2 Reg,MNIST,9.741639262921852,0.11591276766292351,50,9.495844596948361,0.06110801786289532,4.02229812992736,1.0,0.9911333322525024,0.11011238185167313,0.979200005531311,0.15681177438497543
16,MNIST+L2REG,mlp,L2 Reg,MNIST,9.757565418597734,0.1149074838447011,50,9.348918265502675,0.06394277438666877,6.390826125621727,1.0,0.991599977016449,0.10638459238211313,0.9817000031471252,0.14218755968809127
