,is_unpruned,model_tag,dataset,chi2_p_means,chi2_p_ranges,combined_p_means,effect_ranges,effect_means,combined_p_ranges
0,True,CNN-MNIST,mnist,0.0021641887340145952,0.8928878772732136,0.017104213935755692,5.5083259958302255,1.000243390283459,0.7077970846538382
1,True,CNN-MNIST,mnist,0.2649151836367607,0.3227004056777416,0.03671700593203614,4.033645368456304,1.0001609251938794,0.47988433173909795
2,True,CNN-MNIST,mnist,0.03633353804088623,0.2975424943651391,0.013148622282540419,2.4125959945630964,1.0002179435643204,0.09465313257110267
3,True,CNN-MNIST,mnist,0.02612468680465834,0.5610764089605081,0.00042846580421346947,6.390198923641615,1.0003932424472157,0.9867588423445454
4,True,CNN-MNIST,mnist,0.03518880577970309,0.8773840492898197,0.009793086594541164,5.987728938024864,1.0002993885077283,0.3053940034068631
5,True,CNN-FASHION,fashion,0.48318823199703076,0.7877349552636359,0.0415037806373328,inf,1.0012307902223705,0.7376058992700716
6,True,CNN-FASHION,fashion,2.9705476446309368e-05,0.282698541038269,0.00016683811009313303,inf,1.0011198574002964,0.8085840838542485
7,True,CNN-FASHION,fashion,0.07507799930201409,0.22380342914411241,0.02524577426762936,167662744750.5902,1.0011316501848397,0.9348989662201155
8,True,CNN-FASHION,fashion,0.5956423741112011,0.282698541038269,0.01190770835694106,441168943092.0683,1.0013055928719357,0.5805146410175084
9,True,CNN-FASHION,fashion,0.7523815920292805,0.8798936041618232,0.04167388576565099,inf,1.0012797964707165,0.3040668700338687
