,is_unpruned,model_tag,dataset,chi2_p_means,chi2_p_ranges,combined_p_means,effect_ranges,effect_means,combined_p_ranges
0,True,CNN-VGG-CIFAR10,cifar10_full,4.302837376009875e-44,2.2641834861673905e-49,2.2524134005034672e-11,4.2609716829770035,1.358612801519005,2.7037791639783057e-15
1,True,CNN-VGG-CIFAR10,cifar10_full,3.0907511668317056e-46,1.5232538541990414e-22,1.393981251734114e-13,3.0114688325532994,1.4359018384405795,1.4119932057674571e-08
2,True,CNN-VGG-CIFAR10,cifar10_full,4.4369631393147873e-36,4.3028373760099987e-44,6.620345761637288e-10,inf,1.5656421921176817,1.1059163305174971e-11
3,True,CNN-VGG-CIFAR10,cifar10_full,5.837169541918346e-33,3.47470324053392e-33,2.882097882339655e-09,4.174943817547687,1.4451053599975634,3.191173497098145e-10
4,True,CNN-VGG-CIFAR10,cifar10_full,1.5388397494522365e-52,6.641372503416976e-28,1.155248458102485e-11,2.9485006402353373,1.4591117056287886,8.150556772479853e-10
5,True,CNN-VGG-CIFAR10+L1REG,cifar10_full,1.8498488176199945e-98,7.788856985881714e-91,1.0467515593807319e-20,1.5732567917126254,1.6056957773817497,1.6058148853876263e-23
6,True,CNN-VGG-CIFAR10+L1REG,cifar10_full,8.678545887948401e-93,6.906183161198616e-107,2.2161817354293356e-20,2.5880585817795465,1.440573594312235,7.998563018211325e-24
7,True,CNN-VGG-CIFAR10+L1REG,cifar10_full,1.1902841675831392e-75,2.928770927642236e-76,7.553340173526252e-17,1.8682254601219204,1.7868443764456337,2.1476089207344087e-20
8,True,CNN-VGG-CIFAR10+L1REG,cifar10_full,5.477392554245607e-110,2.223704816299327e-93,1.8553473380377885e-20,1.5429488595354108,1.5138866912211026,1.1088358387453345e-22
9,True,CNN-VGG-CIFAR10+L1REG,cifar10_full,5.199785437120867e-111,4.038795125989352e-80,2.3162517889655373e-21,1.2679429104446744,1.5436466845223444,9.700782406995434e-23
10,True,CNN-VGG-CIFAR10+L2REG,cifar10_full,8.790662762416422e-36,2.7508974163551997e-39,7.006675753591435e-10,4.1472978572197485,1.5487607678334012,7.156408530938827e-12
11,True,CNN-VGG-CIFAR10+L2REG,cifar10_full,1.4407769327297556e-47,8.038406522673792e-42,5.945811920774909e-12,4.131616919102186,1.4130527323564879,6.2311000696165e-12
12,True,CNN-VGG-CIFAR10+L2REG,cifar10_full,1.597190924377874e-29,8.14455812719076e-35,9.122524438113447e-10,4.271941593973209,1.5306150331398156,1.431822241119712e-09
13,True,CNN-VGG-CIFAR10+L2REG,cifar10_full,9.167708603235824e-42,7.13291406172566e-41,9.678705348818586e-13,8.35974948031592,1.2630410215875414,1.7648199882940548e-12
14,True,CNN-VGG-CIFAR10+L2REG,cifar10_full,2.3006196851013993e-43,3.221097849749957e-40,1.232195377860004e-10,2.7657351154949597,1.4542220261202738,3.359614208307545e-12
15,True,CNN-VGG-CIFAR10+DROPOUT,cifar10_full,4.813300077733799e-24,4.837437182034562e-18,3.5417561198144123e-06,6.154709485200426,2.55992420535462,6.225480518249229e-05
16,True,CNN-VGG-CIFAR10+DROPOUT,cifar10_full,1.1775372379757353e-20,1.3539955055807816e-18,3.3952366454700393e-06,5825189493781.311,2.7611316446651357,2.567873912647579e-05
17,True,CNN-VGG-CIFAR10+DROPOUT,cifar10_full,9.32957710558428e-17,5.806517133121417e-18,4.09470238315192e-06,11.391290508908028,2.7548372171323385,1.932651705139658e-05
18,True,CNN-VGG-CIFAR10+DROPOUT,cifar10_full,2.0718857345236793e-15,3.509893639164411e-19,2.502431368619379e-06,9.846723224007802,2.6048093463775066,4.782842654220726e-05
19,True,CNN-VGG-CIFAR10+DROPOUT,cifar10_full,2.9379028438641444e-13,4.5125409471848966e-21,1.690036572234281e-05,14.699994365354382,2.828171326867891,8.606785274988983e-06
20,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,cifar10_full,2.773594332944753e-25,7.925597703322278e-26,1.214516661647809e-06,inf,2.5424531309551783,5.486115555715496e-06
21,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,cifar10_full,1.548797087943415e-17,5.164262772313517e-28,5.877036390864508e-07,8.278587790381959,2.5408680328783264,2.7540413988308793e-07
22,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,cifar10_full,2.4070691121975486e-13,2.2593904085197864e-26,0.00010664155976591896,9.139237374951561,2.6620391963013197,1.9034053417418867e-07
23,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,cifar10_full,1.5855009237620988e-18,1.2653007185427893e-24,7.165867961933383e-06,6.448236498368147,2.9036830117777988,5.333983189016894e-06
24,True,CNN-VGG-CIFAR10+DROPOUT+L2REG,cifar10_full,6.682213479809884e-16,1.0849658962374967e-24,5.9825462469958885e-05,10.12942582626176,2.8167415547202515,2.202242880977309e-05
25,True,CNN-VGG-CIFAR10+MOD-INIT,cifar10_full,3.5066724721180197e-37,2.1841948591342716e-34,1.7254932266530452e-09,7.649538015075038,1.7881739345444505,2.038933797800665e-11
26,True,CNN-VGG-CIFAR10+MOD-INIT,cifar10_full,8.322246533156049e-48,1.1734180565523404e-43,1.4680697485071436e-12,4697136003020.753,1.5910888680116495,4.487957748220064e-12
27,True,CNN-VGG-CIFAR10+MOD-INIT,cifar10_full,9.744509560844562e-43,1.6518785523840748e-42,3.0520100334267744e-10,4.015128318784142,1.6197157391896702,2.8171603295044606e-11
28,True,CNN-VGG-CIFAR10+MOD-INIT,cifar10_full,1.1476853106154271e-38,1.1066328581598166e-48,1.832879822835692e-10,4.373667866852371,1.5880221110607273,1.105881527045915e-12
29,True,CNN-VGG-CIFAR10+MOD-INIT,cifar10_full,4.8294823609444626e-30,1.998262316651817e-43,5.445070979563824e-09,2.6247440339088315,1.676354116783782,2.201974199237186e-14
